lat,lng
46.86003637,23.62128162
46.85997645,23.62139154
46.85997517,23.6213939
46.85996307,23.62139785
46.85988468,23.62142343
46.85934993,23.62168674
46.85883331,23.62193176
46.85855088,23.62208163
46.85805848,23.62230818
46.8578088,23.62238587
46.85751795,23.62259838
46.85704147,23.62287803
46.85673468,23.62302434
46.85609672,23.62336358
46.85513565,23.62385452
46.85467138,23.62408106
46.85413477,23.6244131
46.85374075,23.62457121
46.85321683,23.62490292
46.85214464,23.62544105
46.85164503,23.62568327
46.85012922,23.62647697
46.84861314,23.62724842
46.84748504,23.62778047
46.84679191,23.62818303
46.84643393,23.62838459
46.84630343,23.6285073
46.84609945,23.62851722
46.84537885,23.62888318
46.84448094,23.62930601
46.84360325,23.62978071
46.84305651,23.63007555
46.8425665,23.63033562
46.84191585,23.63068071
46.84151674,23.6308956
46.8414411,23.63098801
46.84093159,23.6331824
46.84039881,23.63548212
46.84008711,23.63687602
46.84007237,23.63714789
46.84010569,23.63803298
46.84011818,23.63978073
46.84013069,23.64153323
46.84011845,23.64229563
46.84000386,23.64337972
46.83985846,23.64475988
46.83969356,23.64615005
46.8395229,23.64760703
46.83933972,23.64911195
46.8392844,23.64954676
46.8392582,23.65037618
46.83920789,23.6517968
46.839157,23.65316981
46.83916194,23.65373172
46.8391591,23.65432717
46.8391819,23.655022
46.83924421,23.65556406
46.83916327,23.6555782
46.83927784,23.65684316
46.83934607,23.65734496
46.839455,23.65794887
46.83993283,23.65969622
46.84033821,23.66111782
46.84044607,23.66163078
46.84055536,23.66208912
46.84071828,23.66286764
46.8408429,23.66339233
46.84098221,23.66392879
46.84108022,23.66449054
46.84133241,23.66597663
46.84142009,23.6665447
46.84142572,23.66667196
46.84141091,23.66683005
46.84132351,23.66718404
46.84120453,23.66768439
46.84116431,23.66798263
46.8411189,23.66837198
46.84098137,23.66906691
46.84078274,23.6700545
46.8407367,23.67038927
46.84074181,23.67083198
46.84072569,23.67105682
46.84057339,23.67191589
46.84046183,23.67270115
46.84023439,23.67335579
46.83985952,23.67439013
46.83982599,23.67454867
46.83973245,23.67473293
46.83959479,23.6750578
46.83944611,23.67551032
46.8392975,23.6759689
46.83912969,23.67638548
46.8389077,23.67697323
46.83873892,23.67748689
46.83835805,23.67854558
46.83803537,23.67942086
46.83746427,23.68093908
46.8372399,23.68150259
46.83715474,23.6816927
46.83701275,23.68200551
46.83685511,23.68240361
46.83673474,23.6826067
46.83647613,23.68290413
46.83607359,23.68334457
46.83563508,23.68391325
46.83521057,23.68443305
46.83499373,23.68474765
46.83474877,23.68514785
46.8345451,23.68552278
46.83438481,23.68586474
46.83425212,23.68614959
46.83415507,23.68655216
46.83408342,23.68695412
46.8338341,23.68793105
46.83371952,23.68846745
46.83360624,23.68900751
46.83351561,23.68941733
46.83337405,23.68992843
46.83320349,23.69045876
46.83310562,23.69079092
46.83305506,23.69092555
46.83300009,23.69103445
46.83275056,23.69147524
46.8326469,23.69164207
46.83257741,23.69174678
46.83248346,23.6918945
46.8324186,23.69204153
46.83236138,23.69212776
46.83224664,23.69227598
46.83215249,23.69240553
46.83205833,23.69253507
46.8319562,23.69269511
46.83184638,23.69290989
46.831704,23.69318605
46.83153252,23.69346291
46.83134849,23.69373401
46.83124595,23.6938577
46.83104359,23.69406994
46.83086331,23.69430458
46.83066634,23.69453357
46.83051031,23.69470702
46.8303457,23.69485643
46.83027164,23.69492488
46.83014367,23.69500674
46.82992101,23.69516967
46.82969397,23.69531452
46.82955395,23.69543304
46.82950067,23.69550098
46.8294106,23.69562436
46.82926268,23.69577943
46.82910042,23.69597277
46.82892756,23.69612843
46.82879987,23.69623453
46.82861413,23.69635413
46.82853659,23.69648327
46.8284068,23.69677122
46.82825173,23.69702948
46.82808419,23.69728804
46.82799494,23.69748411
46.82791005,23.69769826
46.82779634,23.69793734
46.82768269,23.69818248
46.82754369,23.69839186
46.82739693,23.69864991
46.82725794,23.69885929
46.82706123,23.69911248
46.82684421,23.69940857
46.82674582,23.69953213
46.8266229,23.69969264
46.82645406,23.69983607
46.82630628,23.6999398
46.82616592,23.70002801
46.82601253,23.70006804
46.82585915,23.70010808
46.82573126,23.70019598
46.82561208,23.70032004
46.82546007,23.70048124
46.82530784,23.70062426
46.82508074,23.70076302
46.82491611,23.7009124
46.82480164,23.70108482
46.82467157,23.70134851
46.8245633,23.70170258
46.82446056,23.70217771
46.82438193,23.70257954
46.82426991,23.70297006
46.82415782,23.70335451
46.8241106,23.70359197
46.82407897,23.70367629
46.82385857,23.70430054
46.82370837,23.70477089
46.82365699,23.704948
46.82362322,23.70504013
46.82354798,23.70516031
46.82341601,23.70539346
46.82331795,23.70554801
46.82322709,23.70572268
46.82314299,23.70588027
46.82308879,23.70601348
46.82304403,23.70615998
46.82299952,23.70633016
46.82293228,23.70654147
46.82283832,23.70656232
46.82269219,23.70656918
46.82256908,23.70655859
46.82243007,23.70657881
46.82230261,23.70659538
46.82221244,23.70662458
46.82210389,23.70667114
46.82194916,23.70673909
46.82185469,23.70679884
46.82179912,23.70681031
46.82167673,23.70686396
46.82144358,23.70697437
46.82120754,23.7070341
46.82115768,23.70704799
46.82099951,23.70660192
46.82088258,23.70632831
46.82071939,23.70592217
46.82067778,23.70581863
46.82055386,23.70557909
46.8204589,23.70536805
46.82031139,23.70507428
46.82017118,23.70475491
46.82003525,23.70447854
46.81989104,23.70414159
46.81979357,23.70391385
46.81967073,23.70365174
46.81956537,23.70342692
46.81942708,23.7031105
46.81931163,23.70284636
46.81924612,23.70269648
46.81921007,23.70261399
46.81915736,23.70254668
46.81905095,23.70246634
46.81893013,23.70237511
46.81880696,23.70229977
46.81871892,23.70223335
46.81860429,23.70214686
46.81849721,23.70195574
46.81841099,23.70178097
46.81835655,23.70167063
46.81831357,23.70155565
46.81826753,23.70147228
46.81822148,23.70138892
46.81816316,23.70125565
46.81810751,23.701089
46.81802269,23.70100005
46.81792113,23.70089355
46.8177032,23.70066501
46.81763663,23.70074349
46.81754292,23.70087087
46.81732918,23.70126153
46.81708954,23.70161899
46.81691077,23.70140682
46.81675034,23.70168183
46.81656371,23.70200758
46.81639313,23.70231603
46.81624443,23.70250559
46.81613827,23.70235256
46.81597731,23.70207233
46.81567091,23.70154429
46.81541733,23.7010769
46.81529935,23.70090386
46.81510594,23.70062779
46.81498361,23.70048192
46.81476856,23.70013874
46.8146898,23.70027254
46.81463055,23.70036864
46.81458475,23.70042385
46.81451348,23.70048305
46.81441239,23.7005734
46.81427429,23.70067477
46.81411052,23.70076324
46.81395812,23.70083114
46.81384984,23.70090137
46.81378545,23.70095363
46.81371441,23.70103311
46.81364796,23.7011091
46.81357646,23.70114801
46.81349336,23.7011872
46.8134079,23.70122306
46.81332673,23.70122838
46.81320488,23.7012248
46.81314243,23.7012432
46.81308942,23.7012749
46.81301095,23.70131398
46.81274335,23.70145565
46.8125498,23.70157864
46.81228106,23.70182517
46.81216714,23.70192305
46.81184983,23.70228479
46.81182226,23.70233255
46.8118156,23.70236548
46.81181053,23.70241475
46.81181129,23.70248232
46.81185412,23.70279055
46.81187661,23.70303987
46.81187776,23.70314224
46.81187322,23.7032386
46.81186175,23.70334333
46.81178661,23.70370157
46.81168714,23.70424066
46.81154897,23.7048793
46.8114607,23.70535139
46.81138423,23.7056035
46.81125867,23.70591198
46.81114185,23.70615026
46.81107968,23.70620497
46.81102757,23.70624115
46.81098232,23.70627882
46.81096964,23.70629055
46.81095798,23.706306
46.81092772,23.70635155
46.81087217,23.70646253
46.8108221,23.70656417
46.81075636,23.70671889
46.81068532,23.70686428
46.8106267,23.70696022
46.81056695,23.70707131
46.81051955,23.7071623
46.81049377,23.70719515
46.81046321,23.7072203
46.81044063,23.7072394
46.81041876,23.70726239
46.81038251,23.70731894
46.81035428,23.70737237
46.81033021,23.7074384
46.81030863,23.70748678
46.81029478,23.70750763
46.81026564,23.70754056
46.81022455,23.70758355
46.81016735,23.70762605
46.81012839,23.70766525
46.81008045,23.7077238
46.81003513,23.70778229
46.80999119,23.70784649
46.8099473,23.70791451
46.80991517,23.7079752
46.8098714,23.70806622
46.80983302,23.70815415
46.80977575,23.70830866
46.80971455,23.70849047
46.80962225,23.70877888
46.80953571,23.70910048
46.80946423,23.70932566
46.80941226,23.70949157
46.80935307,23.70973214
46.80934028,23.70983159
46.80931299,23.71003807
46.80929396,23.71017407
46.80928379,23.71022882
46.80925212,23.71034506
46.80924245,23.71038779
46.80923486,23.71044617
46.80922943,23.71052761
46.80922952,23.71059933
46.80923183,23.71069166
46.80924647,23.7108105
46.80926584,23.71095417
46.80929602,23.71110127
46.80933286,23.71120878
46.80940224,23.71138905
46.80949794,23.71159226
46.80955074,23.71173497
46.80958998,23.71187015
46.80961644,23.71198731
46.80964383,23.71210706
46.80978351,23.71272793
46.80971563,23.71275604
46.80968767,23.71277524
46.80966609,23.71279695
46.80964284,23.71283194
46.80961809,23.71289478
46.8095739,23.71300842
46.80955203,23.71304271
46.80953134,23.71306307
46.80949622,23.71309305
46.80944927,23.71312198
46.80940854,23.71313884
46.8092909,23.71318799
46.80920953,23.71322833
46.80906943,23.71330185
46.80886736,23.71341692
46.80874573,23.71350049
46.8086085,23.71357689
46.80846825,23.7136721
46.80834919,23.71376132
46.80824,23.71382713
46.80816171,23.71388164
46.80801089,23.71397582
46.80792441,23.71400316
46.80782475,23.71401605
46.80772794,23.71402467
46.80773826,23.71417194
46.80773695,23.71431315
46.80774197,23.71463334
46.80775268,23.7148094
46.80778368,23.71512476
46.8078074,23.71543608
46.80784274,23.71575134
46.80788091,23.71593166
46.80793252,23.71612115
46.8079851,23.71629692
46.80803425,23.7164243
46.80808613,23.71653687
46.80814078,23.71663884
46.808192,23.71669242
46.80824765,23.71675432
46.80830587,23.71678666
46.80836691,23.71681261
46.80842698,23.71684274
46.80847257,23.7168721
46.80853935,23.71692801
46.80860838,23.71697711
46.80869271,23.71704614
46.80882513,23.71715969
46.80891679,23.71726067
46.80898141,23.71733186
46.80904345,23.7173983
46.80907449,23.71743951
46.80909466,23.71747311
46.80911624,23.7175259
46.80912444,23.7175624
46.80912906,23.71760073
46.80912624,23.71764393
46.8091206,23.71766026
46.80904998,23.71784427
46.80899474,23.71798821
46.80885469,23.71807899
46.80863672,23.71818662
46.80845571,23.718276
46.80829514,23.71828556
46.80833755,23.71815247
46.80839929,23.71795874
46.80842876,23.71786625
46.80837324,23.71780302
46.80835536,23.71787368
46.80831509,23.71793762
46.8083147,23.71783487
46.80831425,23.71771444
46.80830189,23.71763849
46.80826788,23.71758294
46.80824436,23.71754454
46.80788441,23.71757474
46.80721932,23.71760785
46.80653322,23.71766272
46.80587272,23.71771555
46.80537035,23.71772306
46.80463088,23.71775598
46.80414618,23.71777757
46.80414768,23.71747205
46.80412945,23.7173136
46.80411395,23.71721504
46.80407074,23.7170302
46.80399061,23.71667236
46.80388935,23.71626407
46.80374115,23.71556174
46.80359335,23.71504063
46.80348386,23.71463254
46.8033851,23.71437275
46.8033233,23.71422919
46.8032615,23.71408563
46.80311902,23.71376523
46.80301424,23.71350464
46.80294104,23.71316911
46.80291116,23.71298095
46.80290609,23.71288352
46.80291435,23.7127958
46.80293479,23.71269433
46.8029357,23.71263821
46.80292886,23.71257778
46.80291616,23.71254441
46.80288173,23.71249586
46.80280251,23.71243715
46.80276043,23.71239326
46.8027477,23.71235766
46.80272956,23.71225037
46.80270844,23.71215213
46.80241144,23.71089404
46.80204263,23.70900373
46.80174351,23.70742527
46.80162681,23.70741966
46.80157829,23.70741724
46.80144323,23.70741576
46.80137394,23.70743069
46.8013104,23.70745046
46.80126711,23.70744817
46.80122728,23.70745242
46.80117783,23.70745846
46.80112833,23.70746045
46.80106745,23.70746527
46.80102258,23.70746634
46.80097717,23.70746993
46.80093854,23.70747286
46.80088748,23.70747609
46.80082726,23.70747853
46.80081192,23.70747688
46.80078634,23.70747447
46.80076287,23.70747453
46.80072709,23.70746778
46.80069889,23.70746454
46.8006719,23.7074569
46.80064546,23.70745182
46.80062599,23.70744793
46.80058388,23.70744018
46.8005641,23.70743542
46.80054612,23.70743149
46.8005193,23.7074273
46.80049356,23.70742399
46.80043097,23.707415
46.80036681,23.70740585
46.80032526,23.70740061
46.80027776,23.70739509
46.80023389,23.70738992
46.80019607,23.70738195
46.80015891,23.70737929
46.80012048,23.70737133
46.800061,23.70735649
46.8000194,23.70734772
46.79998496,23.70733812
46.79995176,23.70733525
46.7999165,23.70732949
46.79987554,23.70732091
46.79983728,23.70731595
46.79980505,23.70731086
46.79976652,23.70730659
46.79973536,23.70730733
46.79970166,23.70730593
46.79966998,23.70730449
46.79965965,23.70730401
46.79962289,23.70729828
46.79955807,23.70729983
46.79951345,23.70729426
46.79947604,23.70729166
46.7993622,23.70728663
46.7993127,23.70727693
46.79920901,23.70728471
46.79903931,23.70728272
46.79882796,23.70725761
