lat,lng
47.69137728,26.32167699
47.69077792,26.32145762
47.6902527,26.32142608
47.69001093,26.32138742
47.68974904,26.32134966
47.68956094,26.32130666
47.68932576,26.32127811
47.68898789,26.32127111
47.68881195,26.32125254
47.68832303,26.32122759
47.68784024,26.32116874
47.68766491,26.32117997
47.68773344,26.32003515
47.68776829,26.31924278
47.68775482,26.31906513
47.68773996,26.31888538
47.68766936,26.31865832
47.68760284,26.31831874
47.68756614,26.31795696
47.6875479,26.31733073
47.68753873,26.31727001
47.68707717,26.31801367
47.68676055,26.31863157
47.68649464,26.31912347
47.68639135,26.31929612
47.68637887,26.31940428
47.68631512,26.31956539
47.68631489,26.3195657
47.68602499,26.31995659
47.68570559,26.32032407
47.68538017,26.32060176
47.68524707,26.32067351
47.68495506,26.320612
47.68469852,26.32052428
47.68462355,26.32043479
47.68458815,26.32035087
47.68455776,26.32027882
47.68454311,26.32023836
47.68444042,26.31995467
47.6842684,26.31948735
47.68418296,26.31920364
47.6841299,26.31891864
47.68405887,26.31872915
47.68392554,26.31832537
47.68372283,26.31770919
47.68361997,26.31734789
47.68350017,26.31686727
47.68338872,26.31651827
47.68326339,26.31615222
47.68292527,26.3150655
47.68277141,26.31460906
47.68263187,26.3142552
47.68255243,26.31406134
47.68240946,26.31357795
47.68238029,26.31347932
47.68172253,26.31315435
47.68089316,26.3126979
47.68071874,26.31256635
47.68027591,26.31215077
47.68009333,26.31199398
47.67971483,26.31186365
47.67968932,26.31184936
47.67942675,26.31170221
47.67912102,26.311484
47.67874408,26.31121606
47.6781092,26.31085317
47.67754,26.31055503
47.67753995,26.310555
47.67718846,26.31030349
47.67613934,26.30951241
47.67613931,26.30951239
47.67564133,26.30912856
47.67543924,26.3089728
47.67511929,26.30872114
47.67481213,26.30854131
47.67438305,26.30831631
47.67414471,26.30817483
47.67367404,26.30790846
47.67338649,26.30774378
47.67269009,26.30731427
47.67199834,26.30691056
47.67130417,26.30650313
47.67060463,26.30613224
47.66990271,26.30575396
47.66920832,26.30536488
47.66851624,26.30499053
47.66847273,26.30497223
47.66795616,26.30475501
47.66777413,26.30464422
47.6674636,26.30445522
47.66722773,26.30431381
47.66711777,26.30424921
47.66665149,26.3039753
47.66638818,26.30390497
47.66604966,26.30366016
47.66514051,26.30320331
47.66461738,26.30293487
47.66392558,26.30270704
47.66320361,26.30247846
47.6626623,26.30229271
47.66241748,26.30220364
47.66145247,26.30172636
47.66132917,26.30167061
47.66136181,26.30152308
47.66138347,26.30143184
47.66147127,26.3011221
47.66095059,26.30075937
47.66070469,26.30110108
47.66054838,26.3013176
47.66041398,26.30125683
47.66021238,26.30116567
47.6592044,26.30067691
47.65903279,26.3005937
47.65783589,26.30002773
47.65663898,26.29946181
47.65542885,26.29892115
47.65484313,26.29843736
47.65471435,26.29833099
47.65297149,26.29738396
47.65295893,26.29740989
47.65297209,26.29742385
47.65295925,26.29745247
47.65294541,26.29743778
47.65291326,26.29750424
47.65287634,26.29757725
47.65282598,26.29752611
47.65286142,26.29745153
47.65285681,26.29744599
47.65288903,26.29738191
47.65282779,26.297311
47.6527321,26.29752433
47.65272134,26.29751395
47.65246252,26.29723728
47.6525092,26.29713851
47.6526655,26.29680237
47.65243551,26.29655823
47.65222588,26.2969798
47.65174912,26.29671727
47.6515254,26.29659572
47.65126366,26.29645351
47.6491029,26.29538659
47.64898302,26.29515696
47.64906772,26.2944223
47.64924762,26.2933839
47.64942451,26.29261751
47.64980974,26.29171217
47.65002598,26.29120399
47.65051076,26.28905558
47.65106964,26.28715054
47.65103659,26.28455815
47.65134575,26.28289374
47.64880737,26.28156748
47.64129523,26.28310196
47.64063107,26.28324221
47.63916528,26.28336131
47.63913421,26.28356658
47.63814842,26.28369905
47.63764097,26.28377914
47.63716712,26.28386004
47.63618284,26.28413102
47.63487347,26.28437645
47.63405543,26.28453781
47.63373318,26.28458685
47.63329364,26.28460463
47.63288691,26.28469424
47.6319125,26.28488378
47.6317251,26.28489701
47.63167221,26.28490283
47.63160052,26.28487268
47.6314039,26.28463351
47.63102171,26.2853275
47.63059616,26.28364439
47.62973567,26.27981633
47.62849588,26.27466168
47.62843612,26.27441874
47.62834666,26.27447697
47.62700923,26.27098585
47.62632832,26.26936436
47.62591264,26.26785578
47.62575481,26.26735839
47.62522336,26.26633715
47.62522684,26.26601762
47.62493014,26.26548497
47.62471923,26.26501119
47.6243595,26.26453386
47.62386103,26.26401063
47.62129057,26.2615064
47.62112318,26.26144561
47.62041936,26.26081814
47.61988734,26.26028709
47.61879333,26.25933083
47.61828934,26.25887148
47.61638134,26.25770427
47.61570384,26.25730478
47.6150531,26.25753792
47.6151463,26.25646785
47.61570771,26.25407242
47.61593933,26.25328394
47.61586275,26.25326083
47.61549532,26.2534936
47.61419818,26.25445005
47.61360724,26.25492606
47.61203875,26.2516582
47.61166111,26.25194753
47.61046302,26.25306959
47.61035246,26.25308119
47.6102531,26.25294393
47.60843122,26.24778171
47.60940522,26.24695431
47.61000561,26.24648911
47.61081835,26.24592238
47.61144701,26.24550753
47.61162827,26.24539461
47.61158768,26.24528354
47.61180616,26.24516932
47.61184994,26.24513975
47.61227348,26.24487125
47.61278608,26.24463577
47.61326631,26.24443906
47.61385936,26.24420467
47.61451161,26.24399457
47.61559182,26.24372818
47.61572836,26.24368952
47.61665693,26.24342659
47.61713347,26.24327446
47.61754872,26.24308095
47.61825301,26.24269644
47.61869263,26.24242154
47.61894514,26.24222052
47.61947499,26.24174545
47.62075171,26.24045885
47.6220376,26.23919897
47.62347814,26.23775422
47.62451825,26.23672894
47.62526585,26.23598472
47.62608688,26.23512995
47.62592983,26.23499898
47.62603269,26.23400868
47.62610438,26.23335784
47.62601379,26.23332791
47.62610612,26.23238741
47.62619827,26.23162417
47.62626715,26.23104226
47.6262946,26.23091732
47.6263712,26.23031287
47.62652842,26.22931817
47.62680082,26.22764349
47.62663009,26.22759541
47.62630198,26.22744224
47.62596892,26.22724689
47.62534436,26.22690282
47.62471982,26.22655872
47.62421473,26.22619239
47.62369731,26.22583376
47.62413255,26.22508387
47.62440218,26.2245574
47.62447743,26.22427509
47.6245326,26.22406193
47.6246475,26.2235024
47.62531127,26.22225745
47.62575687,26.22145308
47.62590338,26.2211908
47.62669157,26.21977978
47.62691188,26.21939451
47.62699317,26.21925082
47.62719388,26.21889605
47.62785325,26.21770538
47.62817431,26.21712562
47.62833771,26.21741029
47.62846996,26.21761931
47.62876517,26.21831505
47.62937495,26.22014741
47.63039706,26.22294823
47.63112842,26.22462722
47.63151057,26.22543448
47.6326056,26.22774773
47.63296275,26.22856531
47.63309077,26.22846356
47.63312597,26.22839995
47.63318118,26.22832724
47.63324341,26.22822332
47.63331103,26.22815918
47.63349619,26.22787801
47.63381471,26.22740652
47.63394936,26.22718916
47.63454952,26.22627043
47.63531342,26.2251066
47.63565652,26.22462084
47.63577985,26.22443051
47.63610467,26.22493826
47.636192,26.22507504
47.63638134,26.22485817
47.63637192,26.22481242
47.63632678,26.22473076
47.63635575,26.22466696
47.63635482,26.22464276
47.636251,26.22443846
47.63626594,26.22441798
47.63622341,26.22432593
47.63617514,26.22425552
47.63619778,26.22422046
47.63633323,26.22406318
47.63641653,26.22422922
47.63648765,26.22414606
47.63667707,26.22390449
47.63671381,26.22386551
47.63692606,26.22358678
47.63688403,26.22351913
47.63687592,26.22350714
47.63703744,26.22330954
47.63719048,26.22311313
47.63715657,26.22304892
47.6373289,26.22284412
47.6373195,26.22282866
47.63754884,26.22258275
