Observation period,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI,GHI,BHI,DHI,BNI,Reliability
2013-02-06T00:00:00.0/2013-02-07T00:00:00.0,4508.9990,3212.6426,2419.3921,793.2505,6370.9087,1533.9763,300.0519,1240.3088,773.5479,0.9937
2013-02-07T00:00:00.0/2013-02-08T00:00:00.0,4569.1782,2958.8560,1604.1017,1354.7544,4030.0916,1036.3748,76.6351,959.7663,221.1100,0.9917
2013-02-08T00:00:00.0/2013-02-09T00:00:00.0,4630.2368,2842.6165,1224.9810,1617.6355,2975.8325,886.2827,67.6929,822.2830,190.2179,0.9958
2013-02-09T00:00:00.0/2013-02-10T00:00:00.0,4692.1230,3275.8030,2253.3826,1022.4202,5615.7764,1632.7562,410.7068,1223.0791,998.1133,0.9958
2013-02-10T00:00:00.0/2013-02-11T00:00:00.0,4754.8828,3219.2549,1994.3158,1224.9391,4903.5620,810.1390,50.1916,774.2001,133.3306,0.9944
2013-02-11T00:00:00.0/2013-02-12T00:00:00.0,4818.4624,3460.0835,2533.2505,926.8329,6427.1816,2422.0566,1167.9453,1254.1113,2907.3931,0.9931
2013-02-12T00:00:00.0/2013-02-13T00:00:00.0,4882.8174,3344.4817,2092.8711,1251.6107,5084.1572,1508.2980,293.8003,1215.0148,764.0795,0.9924
2013-02-13T00:00:00.0/2013-02-14T00:00:00.0,4947.9424,3321.6938,1978.0798,1343.6140,4702.4951,865.1581,53.8793,826.1660,120.5523,0.9889
2013-02-14T00:00:00.0/2013-02-15T00:00:00.0,5013.7935,3290.7180,1777.7271,1512.9908,4165.1187,1058.8490,83.9500,981.5202,222.4685,0.9979
2013-02-15T00:00:00.0/2013-02-16T00:00:00.0,5080.3560,3428.8564,2090.2009,1338.6556,4899.0522,1236.2131,80.5282,1155.7523,209.5705,0.9965
2013-02-16T00:00:00.0/2013-02-17T00:00:00.0,5147.6016,3279.2253,1548.4556,1730.7697,3518.5610,1994.2820,567.0993,1428.0431,1263.8671,0.9986
2013-02-17T00:00:00.0/2013-02-18T00:00:00.0,5215.4712,3534.3848,2187.0972,1347.2876,5026.0615,1151.4630,74.1909,1079.0973,156.1379,0.9937
2013-02-18T00:00:00.0/2013-02-19T00:00:00.0,5284.0288,3639.2598,2384.3291,1254.9307,5480.1714,1697.5375,311.6700,1385.8676,860.2861,0.9965
2013-02-19T00:00:00.0/2013-02-20T00:00:00.0,5353.1328,3589.6074,2125.6992,1463.9082,4790.7085,1444.1665,196.8266,1250.9980,376.2532,0.9750
2013-02-20T00:00:00.0/2013-02-21T00:00:00.0,5422.8320,3762.3494,2473.6272,1288.7222,5611.2388,1851.4683,379.3829,1472.1881,852.9072,0.9951
2013-02-21T00:00:00.0/2013-02-22T00:00:00.0,5493.0918,3896.0320,2813.1602,1082.8718,6401.0391,1287.0229,139.7132,1148.5322,308.2061,0.9937
2013-02-22T00:00:00.0/2013-02-23T00:00:00.0,5563.8770,3209.5776,1248.4751,1961.1025,2624.6748,938.2482,63.1174,897.9091,121.5453,0.9931
2013-02-23T00:00:00.0/2013-02-24T00:00:00.0,5635.1792,3675.9370,1961.0266,1714.9104,4276.9556,924.8129,74.0518,871.0630,158.4367,0.9986
2013-02-24T00:00:00.0/2013-02-25T00:00:00.0,5706.9067,3792.7678,2139.8171,1652.9507,4582.1978,918.5181,67.7212,851.5983,141.7351,0.9979
2013-02-25T00:00:00.0/2013-02-26T00:00:00.0,5779.1055,3712.0527,2030.2498,1681.8030,4230.0449,808.6525,62.6647,761.3018,127.8713,0.9965
2013-02-26T00:00:00.0/2013-02-27T00:00:00.0,5851.7515,3698.7974,1813.1646,1885.6328,3778.7385,846.8755,61.6796,801.6375,121.9562,0.9993
2013-02-27T00:00:00.0/2013-02-28T00:00:00.0,5924.7427,4081.0957,2668.8728,1412.2228,5704.5605,1430.2103,129.4463,1304.5217,245.3373,0.9986
2013-02-28T00:00:00.0/2013-03-01T00:00:00.0,5998.1299,4407.2310,3425.5496,981.6814,7495.6572,3344.9282,1815.4043,1529.5239,4038.5178,0.9979
2013-03-01T00:00:00.0/2013-03-02T00:00:00.0,6071.8906,4625.3760,3913.3936,711.9824,8679.9912,4450.0698,3688.3972,761.6727,8003.1675,0.8194
2013-03-02T00:00:00.0/2013-03-03T00:00:00.0,6145.9106,4460.6953,3337.2649,1123.4304,7131.6772,3182.0461,1576.3621,1605.6841,3423.0737,0.9958
