lat,lng
44.37571087,23.7509636
44.3750431,23.75150738
44.37504927,23.75164664
44.3750214,23.7517647
44.37497058,23.75189954
44.3748804,23.75202307
44.37475147,23.75218999
44.37454842,23.75241219
44.37450349,23.75242307
44.37437699,23.75234645
44.37416946,23.75223191
44.37403213,23.75224809
44.37396851,23.75231758
44.37386831,23.75248337
44.37368527,23.75274862
44.37352566,23.75295002
44.37327516,23.75314744
44.37313712,23.75326759
44.37302346,23.75368864
44.37243591,23.75504669
44.37133302,23.75757724
44.37126374,23.75764381
44.37111452,23.75751685
44.37094173,23.75736872
44.37078234,23.75702506
44.3705259,23.75634727
44.37020174,23.75587701
44.36991012,23.75553621
44.3694603,23.75496021
44.36899039,23.75467747
44.36860567,23.75436037
44.36837065,23.75421359
44.36816759,23.75414204
44.36805618,23.75391668
44.36805239,23.753911
44.36796901,23.7537432
44.36787901,23.75357555
44.36776347,23.75347832
44.36742602,23.75321444
44.3672835,23.75298976
44.36709226,23.75258175
44.36680352,23.75250121
44.36670994,23.75248154
44.36656577,23.75281
44.36626089,23.75338052
44.36613131,23.7536219
44.3658956,23.754115
44.36525329,23.75512656
44.36483306,23.75581882
44.36478053,23.75599346
44.36458932,23.75622915
44.3618551,23.76079089
44.359086,23.76511233
44.35700828,23.76837281
44.35616929,23.76966858
44.35587852,23.7701758
44.35574705,23.7703561
44.35557936,23.7705712
44.35546061,23.77068018
44.35532077,23.77080812
44.35510928,23.7711244
44.3548885,23.77148387
44.35464789,23.77182165
44.35431484,23.77233181
44.3541139,23.77269183
44.35395266,23.77298821
44.3535781,23.77352882
44.35339588,23.77372808
44.35337066,23.77378874
44.35335461,23.77389881
44.35335249,23.77402338
44.35335378,23.77414267
44.35333421,23.77420109
44.3532774,23.77433321
44.35313865,23.7745866
44.3523983,23.77587159
44.35218379,23.77632899
44.35200175,23.77672803
44.35186244,23.77699481
44.35173434,23.77717859
44.35146366,23.77756463
44.35133171,23.77767881
44.3512234,23.77776278
44.35114613,23.77776069
44.35103139,23.77786121
44.34997197,23.77969745
