Observation period,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI,GHI,BHI,DHI,BNI,Reliability
2013-02-07T00:00:00.0/2013-02-08T00:00:00.0,4010.4773,2697.4460,1750.3820,947.0641,4985.3428,1136.3020,151.8237,985.6151,502.3217,0.9917
2013-02-08T00:00:00.0/2013-02-09T00:00:00.0,4072.5457,2552.1155,1224.5547,1327.5608,3324.3584,841.3560,65.1056,785.1144,192.2670,0.9979
2013-02-09T00:00:00.0/2013-02-10T00:00:00.0,4135.6250,2799.7346,1668.3917,1131.3430,4623.4380,682.1618,39.2617,653.6465,96.7132,0.9965
2013-02-10T00:00:00.0/2013-02-11T00:00:00.0,4199.5547,2796.5005,1659.1160,1137.3845,4533.1699,765.0865,42.9812,734.1425,107.5493,0.9958
2013-02-11T00:00:00.0/2013-02-12T00:00:00.0,4264.4668,3090.8179,2412.0642,678.7538,6745.5532,2269.9172,1280.6351,990.3255,3218.2297,0.9937
2013-02-12T00:00:00.0/2013-02-13T00:00:00.0,4330.2344,3141.2427,2340.3291,800.9136,6432.6729,1364.8123,302.4973,1062.7230,790.4031,0.9910
2013-02-13T00:00:00.0/2013-02-14T00:00:00.0,4396.8071,2900.0303,1620.8671,1279.1631,4251.7231,785.4610,52.5658,747.6994,127.9628,0.9799
2013-02-14T00:00:00.0/2013-02-15T00:00:00.0,4464.2642,3026.5623,1872.4390,1154.1233,4909.0474,1003.9280,151.4955,853.5462,475.9422,1.0000
2013-02-15T00:00:00.0/2013-02-16T00:00:00.0,4532.4795,3032.9443,1774.4937,1258.4507,4564.5376,1047.8203,147.2162,921.3766,319.9975,1.0000
2013-02-16T00:00:00.0/2013-02-17T00:00:00.0,4601.4897,3125.0034,1937.2063,1187.7971,4956.9043,970.0723,53.4313,917.1423,129.9164,0.9993
2013-02-17T00:00:00.0/2013-02-18T00:00:00.0,4671.2681,3301.8896,2345.6738,956.2159,6081.0034,1087.7153,69.3097,1030.2440,152.6773,0.9979
2013-02-18T00:00:00.0/2013-02-19T00:00:00.0,4741.7466,3433.6121,2594.3057,839.3065,6743.4590,818.0652,49.9530,770.9635,112.4157,0.9972
2013-02-19T00:00:00.0/2013-02-20T00:00:00.0,4812.9155,3387.4592,2363.4734,1023.9858,5986.4688,1335.5378,196.0555,1139.7478,408.7708,0.9750
2013-02-20T00:00:00.0/2013-02-21T00:00:00.0,4884.7690,3353.6826,2204.2861,1149.3964,5528.8633,1380.9506,258.9674,1125.7554,714.5060,0.9951
2013-02-21T00:00:00.0/2013-02-22T00:00:00.0,4957.2993,3476.0881,2466.8076,1009.2805,6115.6055,2536.2876,1175.9427,1360.3447,2880.5132,0.9917
2013-02-22T00:00:00.0/2013-02-23T00:00:00.0,5030.4126,3079.4617,1362.9012,1716.5604,3185.6919,786.8431,52.9347,752.4060,121.3714,0.9896
2013-02-23T00:00:00.0/2013-02-24T00:00:00.0,5104.1616,3597.1255,2573.0667,1024.0590,6252.6357,917.4330,78.4090,859.1537,219.2252,1.0000
2013-02-24T00:00:00.0/2013-02-25T00:00:00.0,5178.4058,3572.7673,2319.3174,1253.4500,5509.9102,1018.1770,61.3763,961.5502,135.2950,1.0000
2013-02-25T00:00:00.0/2013-02-26T00:00:00.0,5253.2832,3354.8884,1775.9470,1578.9413,4065.0540,965.9189,64.1495,903.0950,143.1908,1.0000
2013-02-26T00:00:00.0/2013-02-27T00:00:00.0,5328.6660,3531.6926,2125.0022,1406.6904,4869.2778,872.4495,56.9711,826.9820,124.4176,0.9986
2013-02-27T00:00:00.0/2013-02-28T00:00:00.0,5404.5229,4058.6797,3307.9934,750.6864,7955.6406,3378.9785,1905.8331,1473.1455,4403.5122,0.9986
2013-02-28T00:00:00.0/2013-03-01T00:00:00.0,5480.8716,4088.8689,3223.5415,865.3274,7662.8164,3149.8438,1690.8273,1459.0165,4114.3125,0.9958
2013-03-01T00:00:00.0/2013-03-02T00:00:00.0,5557.6392,4133.5781,3343.4634,790.1147,7897.4102,2968.4377,1468.2887,1500.1489,3680.4971,0.8271
