Observation period,TOA,Clear sky GHI,Clear sky BHI,Clear sky DHI,Clear sky BNI,GHI,BHI,DHI,BNI,Reliability
2013-02-06T00:00:00.0/2013-02-07T00:00:00.0,4098.5640,2842.9692,2052.0073,790.9620,5752.5708,1878.9232,862.7252,1017.9294,2181.6997,1.0000
2013-02-07T00:00:00.0/2013-02-08T00:00:00.0,4159.4585,2706.0491,1543.4935,1162.5554,4302.7788,1239.6407,253.2704,986.3703,791.3551,0.9993
2013-02-08T00:00:00.0/2013-02-09T00:00:00.0,4221.3818,2658.1990,1315.0327,1343.1663,3468.0549,866.2668,67.6710,804.0966,214.4942,0.9972
2013-02-09T00:00:00.0/2013-02-10T00:00:00.0,4284.1807,2869.3579,1791.6808,1077.6771,4818.9731,807.9972,45.4893,766.8487,117.9434,0.9951
2013-02-10T00:00:00.0/2013-02-11T00:00:00.0,4347.8979,2776.1855,1464.3524,1311.8331,3868.9353,837.6726,47.8024,799.9277,115.7714,0.9931
2013-02-11T00:00:00.0/2013-02-12T00:00:00.0,4412.4766,3175.9768,2349.2908,826.6859,6444.0142,1526.4835,345.3398,1181.5674,1034.6467,0.9910
2013-02-12T00:00:00.0/2013-02-13T00:00:00.0,4477.9209,3064.7971,1949.7365,1115.0607,5158.7622,2108.4683,806.5002,1301.9680,2073.5886,0.9958
2013-02-13T00:00:00.0/2013-02-14T00:00:00.0,4544.1768,3049.3386,1813.4371,1235.9016,4622.6431,2250.0403,1114.4918,1135.7957,2552.1003,0.9868
2013-02-14T00:00:00.0/2013-02-15T00:00:00.0,4611.2500,3094.6570,1887.0513,1207.6057,4796.5830,1491.4594,276.8072,1214.9841,766.9796,0.9931
2013-02-15T00:00:00.0/2013-02-16T00:00:00.0,4679.1211,3110.6365,1801.4979,1309.1387,4522.4248,2093.8201,786.3400,1307.5496,1791.0354,1.0000
2013-02-16T00:00:00.0/2013-02-17T00:00:00.0,4747.6792,3069.0481,1666.9730,1402.0751,4090.4343,2261.1921,924.1988,1336.9934,2175.3889,1.0000
2013-02-17T00:00:00.0/2013-02-18T00:00:00.0,4817.0337,3380.8904,2371.7361,1009.1544,5967.4316,1784.2756,455.0442,1329.2314,1165.7083,0.9986
2013-02-18T00:00:00.0/2013-02-19T00:00:00.0,4887.0410,3487.5308,2575.8562,911.6747,6489.5967,1999.5245,746.5414,1252.9832,1753.5100,0.9965
2013-02-19T00:00:00.0/2013-02-20T00:00:00.0,4957.7319,3482.0586,2416.1890,1065.8698,5990.9619,2262.6155,1044.2422,1218.7699,2447.7935,0.9743
2013-02-20T00:00:00.0/2013-02-21T00:00:00.0,5029.0654,3420.4080,2221.5557,1198.8523,5408.7451,1544.1288,253.8016,1290.3496,654.1888,0.9924
2013-02-21T00:00:00.0/2013-02-22T00:00:00.0,5101.0576,3560.1953,2474.6968,1085.4987,5956.4395,2382.8767,896.8957,1485.9811,2175.6626,0.9958
2013-02-22T00:00:00.0/2013-02-23T00:00:00.0,5173.5977,3331.8904,1786.0442,1545.8462,4130.6558,1070.1339,77.8356,998.1343,167.2184,0.9951
2013-02-23T00:00:00.0/2013-02-24T00:00:00.0,5246.7275,3639.1648,2472.5271,1166.6377,5873.8848,1947.0670,622.5120,1324.5549,1538.7588,0.9937
2013-02-24T00:00:00.0/2013-02-25T00:00:00.0,5320.3911,3485.2705,1916.5524,1568.7181,4352.3149,1341.1829,121.7449,1224.7452,271.6293,0.9931
2013-02-25T00:00:00.0/2013-02-26T00:00:00.0,5394.6143,3437.9241,1831.5332,1606.3909,4093.1929,1290.1537,128.3439,1165.0325,342.4356,0.9993
2013-02-26T00:00:00.0/2013-02-27T00:00:00.0,5469.2866,3591.5544,2148.2002,1443.3542,4798.0547,1685.4977,506.5181,1183.6595,1229.4935,0.9979
2013-02-27T00:00:00.0/2013-02-28T00:00:00.0,5544.4668,3953.7053,2957.4495,996.2558,6859.1133,2719.4751,1361.3129,1358.2914,3164.7124,0.9965
2013-02-28T00:00:00.0/2013-03-01T00:00:00.0,5620.0225,4297.0039,3640.2146,656.7894,8645.9980,3973.7104,3002.3098,971.4008,6642.2349,0.9951
2013-03-01T00:00:00.0/2013-03-02T00:00:00.0,5696.0684,4274.9717,3523.3093,751.6624,8225.0107,2925.1023,1286.2964,1638.8673,2904.9778,0.8208
2013-03-02T00:00:00.0/2013-03-03T00:00:00.0,5772.4673,4342.6465,3478.8672,863.7792,7902.5874,2130.0906,666.1483,1463.9734,1595.0768,0.9972
2013-03-03T00:00:00.0/2013-03-04T00:00:00.0,5849.2642,4350.0317,3473.0391,876.9926,7894.7939,3985.2942,2788.7166,1196.5776,5996.7300,0.9958
2013-03-04T00:00:00.0/2013-03-05T00:00:00.0,5926.3672,4533.7817,3765.9573,767.8247,8562.5068,4125.7046,3110.1599,1015.5444,6589.8491,0.9847
2013-03-05T00:00:00.0/2013-03-06T00:00:00.0,6003.8101,4662.5571,4018.9229,643.6343,9205.9902,4418.1934,3603.4441,814.7492,7643.8320,0.9826
2013-03-06T00:00:00.0/2013-03-07T00:00:00.0,6081.5132,4345.8594,3035.0691,1310.7905,6620.4922,3465.0662,1919.5461,1545.5200,3872.1567,0.9875
2013-03-07T00:00:00.0/2013-03-08T00:00:00.0,6159.4946,3678.6089,1576.0265,2102.5823,3163.3711,1432.9452,118.4666,1326.3994,219.2457,0.9861
2013-03-08T00:00:00.0/2013-03-09T00:00:00.0,6237.6582,4082.7385,2191.5247,1891.2140,4436.1362,1723.0281,245.1167,1480.1276,485.4859,0.9958
2013-03-09T00:00:00.0/2013-03-10T00:00:00.0,6316.0488,4534.0996,3457.2190,1076.8807,7313.0405,1761.5974,294.4283,1473.3130,625.9063,0.9840
2013-03-10T00:00:00.0/2013-03-11T00:00:00.0,6394.6572,4453.4941,3005.9973,1447.4967,6222.8882,1333.2520,114.6555,1221.8781,292.8433,0.9993
2013-03-11T00:00:00.0/2013-03-12T00:00:00.0,6473.3755,4690.4722,3586.2490,1104.2228,7485.4443,2379.0981,542.2303,1836.8680,1242.4265,0.9986
2013-03-12T00:00:00.0/2013-03-13T00:00:00.0,6552.2466,4822.4731,3764.6990,1057.7742,7849.2241,3338.0847,1631.5316,1706.5530,3515.5452,0.9972
2013-03-13T00:00:00.0/2013-03-14T00:00:00.0,6631.1831,4820.4321,3679.0540,1141.3782,7484.7510,2231.6965,402.5983,1829.0983,892.5504,0.9958
2013-03-14T00:00:00.0/2013-03-15T00:00:00.0,6710.1743,4442.1016,2335.2126,2106.8889,4565.3218,1293.8000,113.8063,1203.6851,201.8588,0.9937
2013-03-15T00:00:00.0/2013-03-16T00:00:00.0,6789.2520,4781.3911,3245.9060,1535.4850,6440.5581,2093.9373,365.8524,1740.9022,736.2818,0.9965
2013-03-16T00:00:00.0/2013-03-17T00:00:00.0,6868.2988,5165.8574,4043.8743,1121.9829,8251.3389,4289.9111,2648.6770,1641.2340,5026.2598,0.9951
2013-03-17T00:00:00.0/2013-03-18T00:00:00.0,6947.3662,5517.7280,4836.1660,681.5620,10118.7520,5080.5513,3872.6738,1207.8776,7712.5405,0.9937
2013-03-18T00:00:00.0/2013-03-19T00:00:00.0,7026.3643,5032.6030,3614.5464,1418.0568,7031.9341,3506.9478,1362.0797,2147.6716,2481.1455,0.9924
2013-03-19T00:00:00.0/2013-03-20T00:00:00.0,7105.2856,5042.0547,3396.5854,1645.4691,6654.4458,2316.7634,724.9644,1593.7036,1548.7897,1.0000
2013-03-20T00:00:00.0/2013-03-21T00:00:00.0,7184.1636,5464.2578,4557.9976,906.2602,9110.8418,4282.1367,2230.5581,2051.5789,4753.6113,1.0000
2013-03-21T00:00:00.0/2013-03-22T00:00:00.0,7262.8857,5029.6670,3129.5405,1900.1267,5823.6523,1841.2184,267.5822,1586.4369,421.5606,0.9979
2013-03-22T00:00:00.0/2013-03-23T00:00:00.0,7341.5000,4567.1387,2038.2144,2528.9241,3722.6006,1298.2572,74.4588,1237.8159,134.3783,0.9958
2013-03-23T00:00:00.0/2013-03-24T00:00:00.0,7419.9194,5712.2637,4769.9893,942.2742,9333.1318,5034.4907,3487.7483,1546.7427,6334.2646,0.9931
2013-03-24T00:00:00.0/2013-03-25T00:00:00.0,7498.1523,5645.3853,4435.3086,1210.0769,8461.6152,4809.9121,3116.7002,1693.2118,5328.5303,0.9910
2013-03-25T00:00:00.0/2013-03-26T00:00:00.0,7576.2178,4578.6973,1972.8638,2605.8335,3496.7292,2064.4043,375.8193,1697.7963,607.0204,0.9882
2013-03-26T00:00:00.0/2013-03-27T00:00:00.0,7654.0210,5059.2891,2580.7913,2478.4978,4565.2124,1758.9088,157.1059,1603.6033,290.2108,0.9917
2013-03-27T00:00:00.0/2013-03-28T00:00:00.0,7731.5640,5577.5415,4012.7664,1564.7750,7351.9688,2227.7698,356.9231,1883.2416,632.8549,0.9903
2013-03-28T00:00:00.0/2013-03-29T00:00:00.0,7808.8828,5410.9731,3423.9109,1987.0624,6228.5322,1539.4182,61.7219,1490.8425,119.2487,0.9993
